127.0.0.1, 2024-04-01 19:48:28, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2024-04-01 19:48:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.595065
127.0.0.1, 2024-04-01 19:48:29, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2024-04-01 19:48:29, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.031242
127.0.0.1, 2024-04-01 19:48:29, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.031242
127.0.0.1, 2024-04-01 19:48:29, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2024-04-01 19:48:29, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.031242
127.0.0.1, 2024-04-01 19:48:29, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.031242
127.0.0.1, 2024-04-01 19:48:29, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2024-04-01 19:48:29, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2024-04-01 19:48:30, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2024-04-01 19:48:32, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2024-04-01 19:48:47, GET, /admin/default/site, HTTP/1.1, 303, 0.124271
127.0.0.1, 2024-04-01 19:48:47, GET, /admin/default/index, HTTP/1.1, 200, 0.046869
127.0.0.1, 2024-04-01 19:48:47, GET, /admin/static/_2.24.1/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2024-04-01 19:48:47, GET, /admin/static/_2.24.1/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2024-04-01 19:48:47, GET, /admin/static/_2.24.1/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2024-04-01 19:48:47, GET, /admin/static/_2.24.1/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2024-04-01 19:48:47, GET, /admin/static/_2.24.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2024-04-01 19:48:47, GET, /admin/static/_2.24.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.015621
